event_type,timestamp,job_id,job_planned_duration,job_remaining_duration,job_type,machine_id,machine_name,operator_id,operator_name,parts_made
on_machine_broken,5356.573247698685,,,,,,,,,
job_added_to_store,5356.573247698685,429,5.6731922223107,5.6731922223107,JobType.SOFTWARE_UPDATE,1,,,,
machine_part_completed,5356.695293275748,,,,,3,Machine 3,,,235
job_started,5356.695293275748,424,,,JobType.SOFTWARE_UPDATE,4,,0,Operator 0,
machine_part_completed,5359.271362185585,,,,,4,Machine 4,,,228
job_started,5359.271362185585,428,,,JobType.SOFTWARE_UPDATE,2,,0,Operator 0,
machine_part_completed,5361.7644655717295,,,,,0,Machine 0,,,196
machine_part_completed,5363.600255571191,,,,,2,Machine 2,,,208
job_started,5363.600255571191,429,,,JobType.SOFTWARE_UPDATE,1,,0,Operator 0,
machine_part_completed,5364.339417718038,,,,,3,Machine 3,,,236
machine_part_completed,5367.099798388783,,,,,4,Machine 4,,,229
on_machine_broken,5367.910224445909,,,,,,,,,
job_added_to_store,5367.910224445909,430,29.712053915993064,29.712053915993064,JobType.ELECTRICAL_MAINTENANCE,2,,,,
job_added_to_store,5367.910255571285,429,5.6731922223107,1.3631922223107775,JobType.SOFTWARE_UPDATE,1,,,,
job_started,5367.910255571285,430,,,JobType.ELECTRICAL_MAINTENANCE,2,,0,Operator 0,
machine_part_completed,5372.251416029434,,,,,3,Machine 3,,,237
machine_part_completed,5373.49353256686,,,,,0,Machine 0,,,197
machine_part_completed,5377.978825245406,,,,,4,Machine 4,,,230
machine_part_completed,5380.869691448479,,,,,3,Machine 3,,,238
machine_part_completed,5384.070680341025,,,,,0,Machine 0,,,198
machine_part_completed,5385.674711923458,,,,,4,Machine 4,,,231
on_machine_broken,5391.023914122147,,,,,,,,,
job_added_to_store,5391.023914122147,431,9.011012275858205,9.011012275858205,JobType.MECHANICAL_MAINTENANCE,0,,,,
machine_part_completed,5391.5546741993885,,,,,3,Machine 3,,,239
on_machine_broken,5393.5047109259,,,,,,,,,
job_added_to_store,5393.5047109259,432,10.813457946575701,10.813457946575701,JobType.MECHANICAL_MAINTENANCE,4,,,,
on_machine_broken,5394.531638731312,,,,,,,,,
job_added_to_store,5394.531638731312,433,10.536724395883203,10.536724395883203,JobType.MECHANICAL_MAINTENANCE,3,,,,
machine_part_completed,5397.622309487925,,,,,2,Machine 2,,,209
job_started,5397.622309487925,431,,,JobType.MECHANICAL_MAINTENANCE,0,,0,Operator 0,
machine_part_completed,5406.63332176398,,,,,0,Machine 0,,,199
job_started,5406.63332176398,433,,,JobType.MECHANICAL_MAINTENANCE,3,,0,Operator 0,
machine_part_completed,5410.766839787375,,,,,2,Machine 2,,,210
on_machine_broken,5415.1973822527125,,,,,,,,,
